ring_id,vertex_id,x,y
0,0,300,0
0,1,299.909645608861,7.36236855687369
0,2,299.638636861552,14.7203022982254
0,3,299.187137003607,22.0693690799002
0,4,298.555418001659,29.4051420988682
0,5,297.743860379613,36.7232025597649
0,6,296.752952989434,44.0191423366085
0,7,295.583292716682,51.2885666280904
0,8,294.235584120969,58.5270966048385
0,9,292.710639011559,65.7303720470609
0,10,291.009375958363,72.8940539709792
0,11,289.132819738632,80.0138272424695
0,12,287.082100719663,87.0854031763387
0,13,284.858454177911,94.1045221196675
0,14,282.463219554906,101.066956017666
0,15,279.897839650422,107.968510960496
0,16,277.163859753386,114.805029709527
0,17,274.262926711059,121.572394201497
0,18,271.196787937033,128.266528029085
0,19,267.967290358655,134.883398896382
0,20,264.576379304507,141.419021047799
0,21,261.026097332613,147.869457668935
0,22,257.318583000082,154.230823257967
0,23,253.456069574912,160.499285966129
0,24,249.440883690764,166.671069905881
0,25,245.275443945475,172.742457425354
0,26,240.962259444193,178.70979134773
0,27,236.503928287982,184.569477174188
0,28,231.903136008821,190.317985249094
0,29,227.162653951945,195.951852886133
0,30,222.285337606488,201.467686454105
0,31,217.27412488544,206.86216342112
0,32,212.132034355964,212.132034355964
0,33,206.86216342112,217.27412488544
0,34,201.467686454105,222.285337606488
0,35,195.951852886133,227.162653951945
0,36,190.317985249094,231.903136008821
0,37,184.569477174188,236.503928287982
0,38,178.70979134773,240.962259444193
0,39,172.742457425354,245.275443945475
0,40,166.671069905881,249.440883690764
0,41,160.499285966129,253.456069574912
0,42,154.230823257967,257.318583000082
0,43,147.869457668935,261.026097332613
0,44,141.419021047799,264.576379304506
0,45,134.883398896382,267.967290358655
0,46,128.266528029085,271.196787937033
0,47,121.572394201497,274.262926711059
0,48,114.805029709527,277.163859753386
0,49,107.968510960496,279.897839650422
0,50,101.066956017666,282.463219554906
0,51,94.1045221196675,284.858454177911
0,52,87.0854031763387,287.082100719663
0,53,80.0138272424695,289.132819738632
0,54,72.8940539709792,291.009375958363
0,55,65.7303720470609,292.710639011559
0,56,58.5270966048385,294.235584120969
0,57,51.2885666280904,295.583292716682
0,58,44.0191423366085,296.752952989434
0,59,36.7232025597649,297.743860379613
0,60,29.4051420988682,298.555418001659
0,61,22.0693690799002,299.187137003607
0,62,14.7203022982254,299.638636861552
0,63,7.36236855687368,299.909645608861
0,64,1.83697019872103e-14,300
0,65,-7.36236855687364,299.909645608861
0,66,-14.7203022982254,299.638636861552
0,67,-22.0693690799002,299.187137003607
0,68,-29.4051420988682,298.555418001659
0,69,-36.7232025597648,297.743860379613
0,70,-44.0191423366085,296.752952989434
0,71,-51.2885666280904,295.583292716682
0,72,-58.5270966048385,294.235584120969
0,73,-65.7303720470609,292.710639011559
0,74,-72.8940539709792,291.009375958363
0,75,-80.0138272424695,289.132819738632
0,76,-87.0854031763386,287.082100719663
0,77,-94.1045221196674,284.858454177911
0,78,-101.066956017666,282.463219554906
0,79,-107.968510960496,279.897839650422
0,80,-114.805029709527,277.163859753386
0,81,-121.572394201497,274.262926711059
0,82,-128.266528029085,271.196787937033
0,83,-134.883398896382,267.967290358655
0,84,-141.419021047799,264.576379304507
0,85,-147.869457668935,261.026097332613
0,86,-154.230823257967,257.318583000082
0,87,-160.499285966129,253.456069574912
0,88,-166.671069905881,249.440883690764
0,89,-172.742457425354,245.275443945475
0,90,-178.70979134773,240.962259444193
0,91,-184.569477174188,236.503928287982
0,92,-190.317985249094,231.903136008821
0,93,-195.951852886133,227.162653951945
0,94,-201.467686454106,222.285337606488
0,95,-206.86216342112,217.27412488544
0,96,-212.132034355964,212.132034355964
0,97,-217.27412488544,206.86216342112
0,98,-222.285337606488,201.467686454106
0,99,-227.162653951945,195.951852886133
0,100,-231.903136008821,190.317985249094
0,101,-236.503928287982,184.569477174188
0,102,-240.962259444193,178.70979134773
0,103,-245.275443945475,172.742457425354
0,104,-249.440883690764,166.671069905881
0,105,-253.456069574912,160.499285966129
0,106,-257.318583000082,154.230823257967
0,107,-261.026097332613,147.869457668935
0,108,-264.576379304506,141.419021047799
0,109,-267.967290358655,134.883398896382
0,110,-271.196787937033,128.266528029085
0,111,-274.262926711059,121.572394201497
0,112,-277.163859753386,114.805029709527
0,113,-279.897839650422,107.968510960497
0,114,-282.463219554906,101.066956017666
0,115,-284.858454177911,94.1045221196674
0,116,-287.082100719663,87.0854031763387
0,117,-289.132819738632,80.0138272424695
0,118,-291.009375958363,72.8940539709792
0,119,-292.710639011559,65.730372047061
0,120,-294.235584120969,58.5270966048386
0,121,-295.583292716682,51.2885666280904
0,122,-296.752952989434,44.0191423366085
0,123,-297.743860379613,36.7232025597649
0,124,-298.555418001659,29.4051420988682
0,125,-299.187137003607,22.0693690799003
0,126,-299.638636861552,14.7203022982254
0,127,-299.909645608861,7.3623685568737
0,128,-300,3.67394039744206e-14
0,129,-299.909645608861,-7.36236855687362
0,130,-299.638636861552,-14.7203022982253
0,131,-299.187137003607,-22.0693690799002
0,132,-298.555418001659,-29.4051420988682
0,133,-297.743860379613,-36.7232025597648
0,134,-296.752952989434,-44.0191423366085
0,135,-295.583292716682,-51.2885666280903
0,136,-294.235584120969,-58.5270966048385
0,137,-292.710639011559,-65.7303720470609
0,138,-291.009375958363,-72.8940539709791
0,139,-289.132819738632,-80.0138272424695
0,140,-287.082100719663,-87.0854031763386
0,141,-284.858454177911,-94.1045221196674
0,142,-282.463219554906,-101.066956017666
0,143,-279.897839650422,-107.968510960496
0,144,-277.163859753386,-114.805029709527
0,145,-274.262926711059,-121.572394201497
0,146,-271.196787937033,-128.266528029085
0,147,-267.967290358655,-134.883398896382
0,148,-264.576379304507,-141.419021047799
0,149,-261.026097332613,-147.869457668935
0,150,-257.318583000082,-154.230823257966
0,151,-253.456069574912,-160.499285966129
0,152,-249.440883690764,-166.671069905881
0,153,-245.275443945475,-172.742457425354
0,154,-240.962259444193,-178.70979134773
0,155,-236.503928287982,-184.569477174188
0,156,-231.903136008821,-190.317985249094
0,157,-227.162653951945,-195.951852886133
0,158,-222.285337606488,-201.467686454106
0,159,-217.27412488544,-206.86216342112
0,160,-212.132034355964,-212.132034355964
0,161,-206.86216342112,-217.27412488544
0,162,-201.467686454106,-222.285337606488
0,163,-195.951852886133,-227.162653951945
0,164,-190.317985249094,-231.903136008821
0,165,-184.569477174188,-236.503928287982
0,166,-178.70979134773,-240.962259444194
0,167,-172.742457425354,-245.275443945475
0,168,-166.671069905881,-249.440883690764
0,169,-160.499285966129,-253.456069574912
0,170,-154.230823257967,-257.318583000082
0,171,-147.869457668935,-261.026097332613
0,172,-141.419021047799,-264.576379304506
0,173,-134.883398896382,-267.967290358655
0,174,-128.266528029085,-271.196787937033
0,175,-121.572394201497,-274.262926711059
0,176,-114.805029709527,-277.163859753386
0,177,-107.968510960496,-279.897839650422
0,178,-101.066956017666,-282.463219554906
0,179,-94.1045221196674,-284.858454177911
0,180,-87.0854031763387,-287.082100719663
0,181,-80.0138272424696,-289.132819738632
0,182,-72.8940539709792,-291.009375958363
0,183,-65.730372047061,-292.710639011559
