# benchmark.cpp results,,,,,,,
# timestamp_utc=2026-04-03T10:02:07Z,,,,,,,
# os=Linux,,,,,,,
# hw_threads=28,,,,,,,
# input_dir=./experimental_cases,,,,,,,
# iters=5, warmup=1, jobs=1,,,,,
# targets=49.00,22,15,7,,,,
Filename,Original_Vertices,Target_Vertices,Target_Percentage,Execution_Time_MS,Peak_Memory_KB,Areal_Displacement,Std_Deviation_MS
./experimental_cases/input_tiny_hole_clearance.csv,7,2,22,0.027,0,1.25E+03,0.004
./experimental_cases/input_tiny_hole_clearance.csv,7,1,15,0.029,0,1.25E+03,0.003
./experimental_cases/input_tiny_hole_clearance.csv,7,1,7,0.029,0,1.25E+03,0.003
./experimental_cases/input_triangle_hole_minimal.csv,7,3,49,0.026,0,4.50E+02,0.003
./experimental_cases/input_triangle_hole_minimal.csv,7,2,22,0.026,0,4.50E+02,0.003
./experimental_cases/input_triangle_hole_minimal.csv,7,1,15,0.03,0,4.50E+02,0.002
./experimental_cases/input_triangle_hole_minimal.csv,7,1,7,0.026,0,4.50E+02,0.002
./experimental_cases/input_zigzag40_band.csv,42,21,49,0.069,0,1.98E+03,0.004
./experimental_cases/input_zigzag40_band.csv,42,9,22,0.092,0,3.39E+03,0.008
./experimental_cases/input_zigzag40_band.csv,42,6,15,0.092,0,3.80E+03,0.007
./experimental_cases/input_zigzag40_band.csv,42,3,7,0.107,0,4.11E+03,0.006
# summary_total_rows=80,,,,,,,
# summary_ok_rows=80,,,,,,,
# summary_avg_mean_time_ms=0.071,,,,,,,
# summary_avg_peak_mem_kb=0.000,,,,,,,
# summary_avg_areal_displacement=2.6500000121e+12,,,,,,,
# summary_mem_efficiency_ratio_kb_per_ms=0.000000,,,,,,,
